,영화명,감독,배급사,개봉일,국적,전국관객수,장르,등급,유료시사회,개봉달,스크린수,상영횟수,관객수,매출액,누적관객수,주연,감독관객,평점,평점수,SSS,SS,S,A,B,C,D,F,기록없음
198,대장 김창수,이원태,씨네그루(주)키다리이엔티,2017-10-19,한국,380581,드라마,12세이상관람가,0,10,43,95,"14,275","112,505,600","14,275","조진웅,송승헌,정만식,정진영",381483,6.7,500,0,0,0,1,0,0,1,2,0
199,경성학교: 사라진 소녀들,이해영,롯데쇼핑㈜롯데엔터테인먼트,2015-06-18,한국,356342,미스터리,15세이상관람가,0,6,6,11,"2,758","21,919,500","2,758","박보영,엄지원,박소담",1852540,8.84,225,0,0,0,1,1,0,0,1,0
200,석조저택 살인사건,"정식,김휘",씨네그루(주)키다리이엔티,2017-05-09,한국,351830,스릴러,15세이상관람가,0,5,10,26,"5,540","43,612,000","5,540","고수,김주혁,문성근,박성웅,임화영",779146,8.8,141,0,0,0,1,1,2,0,1,0
201,싱글라이더,이주영,워너브러더스 코리아(주),2017-02-22,한국,351276,드라마,15세이상관람가,0,2,25,43,"5,453","43,158,600","5,453","이병헌,공효진,안소희",351276,8.57,348,0,0,1,1,0,0,1,0,0
202,7호실,이용승,롯데쇼핑㈜롯데엔터테인먼트,2017-11-15,한국,347790,코미디,15세이상관람가,0,11,29,49,"6,379","46,761,000","6,379","신하균,도경수",117158,9.03,321,0,1,0,0,0,0,1,0,0
203,치외법권,신동엽,판씨네마(주),2015-08-27,한국,346483,액션,15세이상관람가,0,8,8,27,"5,650","44,229,000","5,650","임창정,최다니엘",44961,8.38,282,0,0,0,0,0,1,0,1,0
204,하이힐,장진,롯데쇼핑㈜롯데엔터테인먼트,2014-06-03,한국,339844,범죄,청소년관람불가,0,6,27,36,"6,369","49,126,000","6,369","차승원,오정세,이솜,고경표,박성웅,김병옥",437380,8.63,274,0,1,0,0,1,1,2,1,0
205,미나문방구,정익환,롯데쇼핑㈜롯데엔터테인먼트,2013-05-16,한국,334323,드라마,전체관람가,0,5,19,99,"16,350","90,608,000","16,350","최강희,봉태규",613425,7.63,2336,0,0,0,0,0,1,0,1,0
206,사랑하기 때문에,주지홍,(주)넥스트엔터테인먼트월드(NEW),2017-01-04,한국,324420,코미디,12세이상관람가,0,1,26,103,"18,677","156,062,800","18,677","차태현,김유정,서현진",174629,9.05,466,0,0,1,0,0,0,2,0,0
207,희생부활자,곽경택,(주)쇼박스,2017-10-12,한국,323628,미스터리,15세이상관람가,0,10,9,9,"2,895","22,902,000","2,895","김래원,김해숙,성동일,전혜진,장영남",2051963,8.88,234,0,0,1,0,1,1,2,0,0
208,극적인 하룻밤,하기호,CGV아트하우스,2015-12-03,한국,320923,멜로/로맨스,청소년관람불가,0,12,2,7,"1,362","11,285,000","1,362","윤계상,한예리,박효주",266083,8.61,95,0,0,0,1,0,0,1,1,0
209,도리화가,이종필,씨제이이앤엠(주),2015-11-25,한국,317505,사극,12세이상관람가,0,11,20,33,"6,760","53,494,000","6,760","류승룡,배수지",432272,7.81,976,0,0,0,0,0,1,1,0,0
210,레드카펫,박범수,(주)프레인글로벌,2014-10-23,한국,316780,멜로/로맨스,15세이상관람가,0,10,24,50,"6,916","53,574,500","6,916","윤계상,고준희,오정세,조달환,황찬성",316953,8.85,257,0,0,0,1,0,0,2,2,0
211,위대한 소원,남대중,(주)넥스트엔터테인먼트월드(NEW),2016-04-21,한국,308180,코미디,15세이상관람가,0,4,445,"1,433","25,610","203,865,800","25,610","류덕환,김동영,안재홍,전노민,전미선",308398,8.93,335,0,0,0,0,1,0,2,2,0
212,개를 훔치는 완벽한 방법,김성호,(주)리틀빅픽쳐스,2014-12-31,한국,306119,드라마,전체관람가,0,12,34,83,"15,910","127,810,000","15,910","김혜자,이레,최민수,강혜정,이천희,이지원,홍은택",270506,9.27,467,0,0,0,0,0,1,3,3,0
213,혼숨,이두환,(주)프레인글로벌,2016-10-26,한국,288016,공포(호러),15세이상관람가,0,10,3,7,"1,450","11,362,000","1,450","류덕환,조복래",288016,6.86,115,0,0,0,0,0,0,2,0,0
214,다이노 타임,"최윤석,존 카프카",씨제이이앤엠(주),2015-04-30,한국,283300,애니메이션,전체관람가,0,4,2,5,"1,127","9,197,000","1,127","멜라니그리피스,제인린치,윌리엄볼드윈,스티븐볼드윈,롭슈나이더",285084,9.42,96,0,0,0,0,0,1,1,3,0
215,극장판 안녕 자두야,손석우,씨제이이앤엠(주),2016-05-04,한국,278914,애니메이션,전체관람가,0,5,4,6,"1,079","10,323,000","1,079","여민정,양정화",140453,9.23,31,0,0,0,0,0,0,1,1,0
216,롤러코스터,하정우,씨제이이앤엠(주),2013-10-17,한국,270148,코미디,15세이상관람가,0,10,10,17,"4,092","32,154,000","4,092","정경호,한성천,김재화,최규환,김기천,김병옥,강신철",613129,8.94,3552,0,1,0,0,0,0,3,3,0
217,공범자들,최승호,(주)엣나인필름,2017-08-17,한국,258478,다큐멘터리,15세이상관람가,0,8,5,31,"7,850","63,663,500","7,850","이명박,김재철,김장겸",202275,7.29,682,0,0,0,0,0,0,0,2,0
218,함정,권형진,(주)인벤트스톤,2015-09-10,한국,257716,스릴러,청소년관람불가,0,9,13,43,"9,178","58,594,000","9,178","마동석,조한선,김민경",317214,8.1,309,1,0,0,0,0,0,0,2,0
219,밤의 여왕,김제영,(주)인벤트스톤,2013-10-17,한국,252475,멜로/로맨스,15세이상관람가,0,10,13,26,"6,407","44,355,000","6,407","천정명,김민정",240740,8.99,1743,0,0,0,0,0,0,2,0,0
220,비밀은 없다,이경미,씨제이이앤엠(주),2016-06-23,한국,250650,스릴러,청소년관람불가,0,6,9,22,"3,067","24,356,000","3,067","손예진,김주혁",394985,8.73,173,0,0,0,1,1,0,0,0,0
221,소셜포비아,홍석재,CGV아트하우스,2015-03-12,한국,248215,스릴러,15세이상관람가,0,3,17,46,"4,649","43,642,400","4,649","변요한,이주승,하윤경,류준열",83879,9.4,86,0,0,0,1,0,0,1,2,0
222,미옥,이안규,씨네그루(주)키다리이엔티,2017-11-09,한국,238587,범죄,청소년관람불가,0,11,5,13,"2,623","20,899,000","2,623","김혜수,이선균,이희준",2770886,8.37,200,0,0,0,1,0,2,0,0,0
223,어느날,이윤기,오퍼스픽쳐스,2017-04-05,한국,232016,멜로/로맨스,15세이상관람가,0,4,12,28,"5,208","36,755,000","5,208","김남길,천우희",168428,9.2,172,0,0,0,1,0,0,1,0,0
224,순정,이은희,(주)리틀빅픽쳐스,2016-02-24,한국,229059,드라마,12세이상관람가,0,2,22,124,"24,445","206,212,800","24,445","도경수,김소현,연준석,이다윗,주다영",126634,9.3,1097,0,1,0,0,1,0,2,1,0
225,분노의 윤리학,박명랑,롯데쇼핑㈜롯데엔터테인먼트,2013-02-21,한국,224891,스릴러,청소년관람불가,0,2,8,15,"3,112","18,331,000","3,112","이제훈,조진웅,김태훈,곽도원,문소리",75519,9.1,2202,0,0,0,3,1,0,0,1,0
226,한공주,이수진,CGV아트하우스,2014-04-17,한국,224452,드라마,청소년관람불가,0,4,16,31,"3,316","26,728,100","3,316","천우희,정인선,김소영",225839,9.42,144,0,0,0,1,0,0,1,1,0
227,연애의 맛,김아론,(주)와우픽쳐스,2015-05-07,한국,212154,멜로/로맨스,청소년관람불가,0,5,5,11,"2,385","19,185,000","2,385","오지호,강예원",75209,8.78,97,0,0,0,0,0,0,1,1,0
228,덕수리 5형제,전형준,롯데쇼핑㈜롯데엔터테인먼트,2014-12-04,한국,206953,코미디,15세이상관람가,0,12,13,32,"5,647","45,304,000","5,647","윤상현,송새벽,이아이,황찬성,이광수,김지민",210777,8.47,248,0,0,0,0,0,0,1,5,0
229,남과 여,이윤기,(주)쇼박스,2016-02-25,한국,203775,멜로/로맨스,청소년관람불가,0,2,14,29,"7,640","61,764,000","7,640","전도연,공유",168428,8.52,259,0,1,0,0,0,0,1,0,0
230,"무현, 두 도시 이야기",전인환,(주)모멘텀엔터테인먼트,2016-10-26,한국,193578,다큐멘터리,15세이상관람가,0,10,8,11,"3,006","17,824,000","3,006",김원명,98612,7.17,606,0,0,0,0,0,0,0,0,0
231,응징자,신동엽,(주)인벤트스톤,2013-10-30,한국,192347,액션,청소년관람불가,0,10,6,7,"1,625","11,407,000","1,625","양동근,주상욱,이태임",44961,8.63,2555,0,0,0,0,0,0,1,2,0
232,글로리데이,최정열,(주)엣나인필름,2016-03-24,한국,189047,드라마,15세이상관람가,0,3,28,49,"8,186","72,917,800","8,186","지수,김준면,류준열",94707,9.45,932,0,0,0,1,0,0,0,2,0
233,마이 리틀 히어로,김성훈,씨제이이앤엠(주),2013-01-09,한국,183650,드라마,전체관람가,0,1,22,60,"8,271","62,444,000","8,271","김래원,지대한,이성민,조안,이광수,썬더맨",4001848,9.1,1611,0,0,0,0,2,0,2,1,0
234,채비,조영준,오퍼스픽쳐스,2017-11-09,한국,175889,드라마,12세이상관람가,0,11,6,25,"5,187","39,015,000","5,187","고두심,김성균",88915,9.47,266,0,0,0,0,0,0,2,0,0
235,톱스타,박중훈,롯데쇼핑㈜롯데엔터테인먼트,2013-10-24,한국,175152,드라마,15세이상관람가,0,10,9,19,"4,145","28,511,000","4,145","엄태웅,김민준,소이현,김준성",175153,8.38,2125,0,1,0,1,0,1,1,0,0
236,아빠를 빌려드립니다,김덕수,메가박스중앙(주)플러스엠,2014-11-20,한국,172445,코미디,12세이상관람가,0,11,91,120,"7,052","51,664,000","7,052","김상경,문정희,채정안,조재윤",500677,9.39,490,0,0,0,1,1,0,1,1,0
237,대배우,석민우,(주)대명문화공장,2016-03-30,한국,169855,코미디,12세이상관람가,0,3,11,18,"4,057","31,965,000","4,057","오달수,윤제문,이경영,진경",1398000,9.01,185,0,1,1,1,0,0,0,1,0
238,노리개,최승호,(주)인벤트스톤,2013-04-18,한국,169054,드라마,청소년관람불가,0,4,5,6,"2,268","15,876,000","2,268","마동석,이승연,민지현",202275,8.7,2000,1,0,0,0,0,0,0,2,0
239,최강전사 미니특공대 : 새로운 악당의 습격,이영준,에이원엔터테인먼트,2015-02-05,한국,154342,애니메이션,전체관람가,0,2,4,4,"1,006","8,048,000","1,006","엄상현,전태열",45156,9.76,34,0,0,0,0,0,0,0,2,0
240,달빛궁궐,김현주,(주)넥스트엔터테인먼트월드(NEW),2016-09-07,한국,151360,애니메이션,전체관람가,0,9,4,14,"3,067","26,524,000","3,067","김서영,이하늬,권율,김슬기",153145,6.42,1098,0,0,1,0,0,2,1,0,0
241,비정규직 특수요원,김덕수,(주)이수C&E,2017-03-16,한국,149719,코미디,15세이상관람가,0,3,11,17,"3,559","26,840,000","3,559","강예원,한채아",500677,8.3,758,0,0,0,0,0,0,1,1,0
242,워킹걸,정범식,메가박스중앙(주)플러스엠,2015-01-07,한국,149181,코미디,청소년관람불가,0,1,5,19,"4,222","32,825,000","4,222","조여정,클라라,김태우",1107548,3.93,2786,0,0,0,1,0,1,0,1,0
243,서울역,연상호,(주)넥스트엔터테인먼트월드(NEW),2016-08-17,한국,146548,애니메이션,15세이상관람가,0,8,5,10,"2,015","18,250,500","2,015","류승룡,심은경,이준,오윤석",379103,7.4,411,0,0,0,1,0,1,1,0,0
244,지슬 - 끝나지 않은 세월2,오멸,(주)영화사 진진,2013-03-21,한국,143490,드라마,15세이상관람가,0,3,7,261,"16,095","114,126,500","16,095","이경준,홍상표,문석범,양정원,박순동",49735,6.75,716,0,0,0,0,0,0,0,4,0
245,은밀한 유혹,윤재구,씨제이이앤엠(주),2015-06-04,한국,142405,멜로/로맨스,15세이상관람가,0,6,12,14,"3,366","27,259,000","3,366","임수정,유연석,곽민호",594633,8.76,239,0,0,0,0,0,1,2,0,0
246,가시,김태균,(주)인벤트스톤,2014-04-10,한국,141956,멜로/로맨스,청소년관람불가,0,4,7,17,"3,618","27,672,000","3,618","장혁,조보아,선우선,이도아",158129,7.91,244,0,0,0,0,0,0,1,3,0
247,극장판 또봇: 로봇군단의 습격,"이달,고동우",씨제이이앤엠(주),2017-04-27,한국,141592,애니메이션,전체관람가,0,4,9,12,"2,328","19,002,000","2,328","하룡이,신경선,이현",141865,9.71,166,0,0,0,0,0,0,1,2,0
248,화장,임권택,(주)리틀빅픽쳐스,2015-04-09,한국,140616,드라마,청소년관람불가,0,4,8,30,"6,067","47,809,000","6,067","안성기,김규리,김호정",112686,8.35,229,0,0,0,0,0,0,1,2,0
249,극장판 꼬마버스 타요의 에이스 구출작전,류정우,(주)아이코닉스,2016-01-21,한국,135478,애니메이션,전체관람가,0,1,5,10,"2,039","14,273,000","2,039",0,298201,9.69,290,0,0,0,0,0,0,1,0,0
250,로마의 휴일,이덕희,메가박스중앙(주)플러스엠,2017-08-30,한국,134827,코미디,15세이상관람가,0,8,12,45,"11,008","88,168,500","11,008","임창정,공형진,정상훈",188805,7.99,393,0,0,0,0,0,0,1,2,0
251,나의 절친 악당들,임상수,이십세기폭스코리아(주),2015-06-25,한국,133553,범죄,청소년관람불가,0,6,17,27,"3,776","33,147,000","3,776","류승범,고준희,류현경",44613,9.06,317,0,0,0,1,0,0,1,1,0
252,자백,최승호,(주)엣나인필름,2016-10-13,한국,129950,다큐멘터리,15세이상관람가,0,10,7,93,"19,662","134,546,000","19,662",최승호,202275,9.67,684,0,0,0,0,0,0,0,1,0
253,맨홀,신재영,롯데쇼핑㈜롯데엔터테인먼트,2014-10-08,한국,129732,공포(호러),청소년관람불가,0,10,11,17,"3,931","30,681,000","3,931","정경호,정유미,김새론",133663,7.28,725,0,0,1,0,0,0,1,1,0
254,눈길,이나정,(주)엣나인필름,2017-03-01,한국,126443,드라마,15세이상관람가,0,3,5,29,"3,729","27,178,000","3,729","김영옥,김향기,김새론",130493,8.71,79,1,0,0,0,0,0,0,2,0
255,저수지 게임,최진성,(주)스마일이엔티,2017-09-07,한국,125402,다큐멘터리,15세이상관람가,0,9,16,23,"4,317","38,548,500","4,317",주진우,53284,8.65,115,0,0,0,0,0,0,0,1,0
256,시간위의 집,임대웅,(주)리틀빅픽쳐스,2017-04-05,한국,124601,미스터리,15세이상관람가,0,4,35,77,"6,086","47,762,600","6,086","김윤진,옥택연,조재윤",153599,9.01,864,0,1,0,1,0,0,1,0,0
257,"서서평, 천천히 평온하게","홍주연,홍현정",커넥트픽쳐스(주),2017-04-26,한국,123036,다큐멘터리,전체관람가,0,4,3,19,"3,386","24,969,000","3,386","윤안나,안은새",123958,9.74,149,0,0,0,0,0,0,0,2,0
258,퇴마: 무녀굴,김휘,씨네그루(주)다우기술,2015-08-20,한국,120802,공포(호러),15세이상관람가,0,8,8,20,"4,043","32,840,000","4,043","김성균,유선,천호진,차예련,김혜성,임화영",323284,8.4,186,0,0,0,1,0,0,1,4,0
259,죽여주는 여자,이재용,CGV아트하우스,2016-10-06,한국,119964,드라마,청소년관람불가,0,10,3,19,"1,821","15,002,000","1,821","윤여정,전무송,윤계상",583790,8.5,52,0,0,0,1,0,1,0,1,0
260,여교사,김태용,필라멘트픽쳐스,2017-01-04,한국,116851,드라마,청소년관람불가,0,1,27,38,"3,438","27,882,500","3,438","김하늘,유인영,이원근",25,8.77,384,0,0,1,0,0,0,0,2,0
261,최강전사 미니특공대: 영웅의 탄생,이영준,(주)삼지애니메이션,2016-02-04,한국,115704,애니메이션,전체관람가,0,2,6,13,"2,288","18,293,000","2,288","엄상현,양정화",45156,9.66,102,0,0,0,0,0,0,1,1,0
262,배우는 배우다,신연식,(주)넥스트엔터테인먼트월드(NEW),2013-10-24,한국,111927,드라마,청소년관람불가,0,10,5,8,"2,418","19,739,000","2,418","이준,서영희",1927,9.4,1380,0,0,0,1,1,0,0,0,0
263,도희야,정주리,CGV아트하우스,2014-05-22,한국,106511,드라마,청소년관람불가,0,5,5,16,"3,014","24,044,500","3,014","배두나,김새론,송새벽",106658,8.93,92,0,0,0,1,0,0,1,1,0
264,더 테이블,김종관,(주)엣나인필름,2017-08-24,한국,103054,드라마,12세이상관람가,0,8,21,33,"3,434","26,057,500","3,434","정유미,한예리,정은채,임수정",34397,9.06,130,0,0,1,1,0,0,2,0,0
265,루시드 드림,김준성,(주)넥스트엔터테인먼트월드(NEW),2017-02-22,한국,102170,SF,15세이상관람가,0,2,14,39,"6,135","47,070,000","6,135","고수,설경구",51086,7,504,0,0,0,1,0,1,0,0,0
266,돌연변이,권오광,필라멘트픽쳐스,2015-10-22,한국,100543,드라마,12세이상관람가,0,10,8,26,"4,742","41,964,000","4,742","이광수,이천희,박보영",33600,8.97,535,0,0,0,0,0,0,0,3,0
267,김광석,이상호,(주)비엠컬쳐스,2017-08-30,한국,98231,다큐멘터리,15세이상관람가,0,8,5,40,"8,979","76,827,000","8,979",김광석,33841,9.04,137,0,0,0,0,0,0,0,1,0
268,슈퍼 빼꼼: 스파이 대작전,임아론,메가박스중앙(주)플러스엠,2017-05-03,한국,97005,애니메이션,전체관람가,0,5,5,26,"3,632","28,596,000","3,632","김태균,최정현",115224,9.5,278,0,0,0,0,0,0,1,1,0
269,걷기왕,백승화,CGV아트하우스,2016-10-20,한국,95542,드라마,12세이상관람가,0,10,366,905,"10,913","87,416,600","10,913",심은경,32269,8.95,301,0,0,0,0,0,1,0,0,0
270,무서운 이야기 3 : 화성에서 온 소녀,"백승빈,김선,김곡,민규동",롯데쇼핑㈜롯데엔터테인먼트,2016-06-01,한국,95415,공포(호러),15세이상관람가,0,6,3,9,"2,389","19,181,000","2,389","임슬옹,경수진,박정민,홍은희,차지연",33758,7.44,168,0,0,0,0,1,0,2,2,0
271,일사각오,"권혁만,고문안",파이오니아21,2016-03-17,한국,94767,드라마,12세이상관람가,0,3,2,5,978,"7,824,000",978,"이지형,설지윤",68581,9.85,61,0,0,0,0,0,0,0,2,0
272,살인자,이기욱,(주)영화사 빅,2014-01-15,한국,88199,스릴러,청소년관람불가,0,1,3,4,"1,028","7,196,000","1,028","마동석,안도규,김현수",88199,9.28,196,1,0,0,0,1,0,0,1,0
273,슈퍼 프렌즈,"이경호,이원재",씨네그루(주)키다리이엔티,2016-08-10,한국,86293,애니메이션,전체관람가,0,8,23,63,"8,748","74,102,800","8,748","변현우,김지혜,박조호,서지연,남도형,홍진욱,김승태,오인성",174753,9.43,512,0,0,0,0,0,0,0,8,0
274,다이노X 탐험대,이동희,(주)이수C&E,2016-05-04,한국,82148,애니메이션,전체관람가,0,5,2,4,938,"6,950,000",938,정준하,83319,8.95,82,0,0,0,0,0,0,1,0,0
275,터널 3D,박규택,(주)박수엔터테인먼트,2014-08-20,한국,80989,공포(호러),15세이상관람가,0,8,6,17,"3,571","29,100,000","3,571","정유미,연우진,송재림",40557,7.28,318,0,0,1,0,0,2,0,0,0
276,최악의 하루,김종관,CGV아트하우스,2016-08-25,한국,80754,멜로/로맨스,15세이상관람가,0,8,7,23,"2,649","24,163,600","2,649","한예리,이와세료,권율",34397,8.45,44,0,0,0,0,0,1,1,1,0
277,지금은맞고그때는틀리다,홍상수,(주)영화제작전원사 ,2015-09-24,한국,80614,드라마,청소년관람불가,0,9,17,19,"2,458","20,087,700","2,458","정재영,김민희",28402,8.44,36,0,0,0,0,0,0,0,2,0
278,쓰리 썸머 나잇,김상진,(주)리틀빅픽쳐스,2015-07-15,한국,77621,코미디,청소년관람불가,0,7,8,16,"3,243","27,648,000","3,243","김동욱,임원희,손호준,윤제문,류현경,심은진",339475,7.28,247,1,1,0,0,0,0,1,3,0
279,엽기적인 그녀 2,조근식,(주)리틀빅픽쳐스,2016-05-12,한국,76321,멜로/로맨스,15세이상관람가,0,5,4,17,"2,408","18,931,000","2,408","차태현,빅토리아,배성우",183844,2.91,1601,0,0,1,1,0,0,0,1,0
280,정글히어로,"박태동,마우리시오 드 라 오르타",씨제이이앤엠(주),2014-10-02,한국,71330,애니메이션,전체관람가,0,10,2,4,717,"5,385,000",717,"심규혁,조성목,김현지,양세나,남도형,안장혁",169743,9.21,80,0,0,0,0,0,0,2,4,0
281,번개맨,조근현,씨네그루(주)키다리이엔티,2016-02-11,한국,69303,판타지,전체관람가,0,2,5,16,"3,071","27,345,000","3,071","정현진,루나",166815,8.28,330,0,0,0,0,0,1,0,1,0
282,우리 선희,홍상수,(주)영화제작전원사 ,2013-09-12,한국,68770,드라마,청소년관람불가,0,9,2,5,894,"6,807,000",894,"정유미,이선균,김상중,정재영,이민우",28402,8.81,62,0,0,1,0,0,1,1,2,0
283,닥터,"김성홍,김유정,배현지",(주)마인스 엔터테인먼트,2013-06-20,한국,68312,스릴러,청소년관람불가,0,6,6,15,"3,810","26,702,000","3,810","김창완,배소은",237532,8.32,2375,0,0,0,0,0,0,1,1,0
284,올레,채두병,(주)대명문화공장,2016-08-25,한국,66883,드라마,15세이상관람가,0,8,7,19,"2,822","21,044,000","2,822","신하균,박희순,오만석,유다인",66883,8.65,147,0,0,1,0,1,1,1,0,0
285,뷰티풀 투모로우,장재혁,씨제이 씨지브이(CJ CGV)(주),2017-10-26,한국,63279,드라마,12세이상관람가,0,10,,,,,,"박효신,정재일",63279,9.95,798,0,0,0,0,0,0,0,1,0
286,경주,장률,(주)인벤트스톤,2014-06-12,한국,62754,드라마,15세이상관람가,0,6,14,64,"4,461","34,029,000","4,461","박해일,신민아,김태훈,신민아",5430,9,134,0,0,0,1,0,0,2,1,0
287,두 남자,이성태,씨네그루(주)키다리이엔티,2016-11-30,한국,60365,범죄,청소년관람불가,0,11,11,23,"4,185","34,600,000","4,185","마동석,최민호",60365,9.15,190,1,0,0,0,0,0,0,1,0
288,순종,"김동민,이주훈",(재)CBS,2016-11-17,한국,58027,다큐멘터리,전체관람가,0,11,8,31,"4,633","32,258,000","4,633","최강희,최수종,김은혜",58644,9.48,23,0,0,0,0,0,1,0,2,0
289,밤의 해변에서 혼자,홍상수,(주)영화제작전원사 ,2017-03-23,한국,56995,드라마,청소년관람불가,0,3,1,1,401,"3,208,000",401,"김민희,정재영",28402,2.92,1341,0,0,0,0,0,0,0,2,0
290,극장판 프랭키와 친구들: 생명의 나무,박정오,예지림엔터테인먼트,2016-04-13,한국,56835,애니메이션,전체관람가,0,4,13,15,"3,153","26,096,000","3,153",0,56860,9.62,186,0,0,0,0,0,0,1,0,0
291,고녀석 맛나겠다2 : 함께라서 행복해,"최경석,노나카 카즈미",(주)리틀빅픽쳐스,2015-07-29,한국,55619,애니메이션,전체관람가,0,7,4,5,"1,267","8,813,000","1,267","엄상현,시영준,안장혁",56105,9.18,139,0,0,0,0,0,0,0,3,0
292,그물,김기덕,(주)넥스트엔터테인먼트월드(NEW),2016-10-06,한국,55342,드라마,15세이상관람가,0,10,4,8,"1,396","11,188,500","1,396","류승범,이원근",22326,7.59,120,0,0,0,1,0,0,0,1,0
293,빅뱅 메이드,변진호,씨제이 씨지브이(CJ CGV)(주),2016-06-30,한국,55227,다큐멘터리,12세이상관람가,0,6,11,16,"3,609","31,747,900","3,609","G-드래곤,태양,최승현,대성,승리",56200,8.93,641,0,0,0,0,1,0,0,4,0
294,잡아야 산다,오인천,오퍼스픽쳐스,2016-01-07,한국,54450,코미디,15세이상관람가,0,1,4,6,"1,957","16,762,000","1,957",김승우,18469,7.84,291,0,0,0,0,0,0,0,1,0
295,길위에서,이창재,㈜영화사 백두대간,2013-05-23,한국,53500,다큐멘터리,전체관람가,0,5,1,3,242,"2,048,000",242,0,631493,9.38,16,0,0,0,0,0,0,1,0,0
296,블랙 가스펠,히즈엠티 선교회,(주)넥스트엔터테인먼트월드(NEW),2013-11-14,한국,52852,드라마,전체관람가,0,11,6,14,"2,984","22,183,000","2,984","양동근,정준,김유미,박수용",53217,9.49,229,0,0,0,0,0,0,1,3,0
297,미안해 사랑해 고마워,전윤수,(주)쇼박스,2015-10-28,한국,51207,드라마,15세이상관람가,0,10,9,14,"3,985","30,985,000","3,985","지진희,김성균,성유리,이계인",1786381,8.47,85,0,0,0,0,0,0,1,3,0
298,더 테너 리리코 스핀토,김상만,(주)박수엔터테인먼트,2014-12-31,한국,50514,드라마,12세이상관람가,0,12,28,66,"11,245","85,924,500","11,245","유지태,차예련,이세야유스케",419612,8.65,130,0,0,0,0,0,1,0,2,0
299,다이빙벨,"이상호,안해룡",(주)시네마달,2014-10-23,한국,50288,다큐멘터리,15세이상관람가,0,10,3,7,"1,818","11,577,000","1,818",이상호,33841,3.09,2440,0,0,0,0,0,0,1,0,0
300,"제자, 옥한흠",김상철,(주)씨타마운틴픽쳐스,2014-10-30,한국,50274,다큐멘터리,전체관람가,0,10,1,1,255,"2,040,000",255,"권오중,성유리",9588,7.22,18,0,0,0,0,0,0,0,2,0
301,비밀,"박은경,이동하",CGV아트하우스,2015-10-15,한국,50196,미스터리,15세이상관람가,0,10,3,12,"1,959","16,318,500","1,959","성동일,김유정,손호준",50196,8.93,72,0,0,0,0,0,1,2,0,0
302,우리들,윤가은,(주)엣나인필름,2016-06-16,한국,48223,드라마,전체관람가,0,6,3,10,"1,268","9,130,600","1,268","최수인,설혜인,이서연",16506,9.4,77,0,0,0,0,0,0,0,3,0
303,목숨 건 연애,송민규,오퍼스픽쳐스,2016-12-14,한국,47684,멜로/로맨스,15세이상관람가,0,12,7,15,"3,279","25,584,000","3,279","하지원,천정명,진백림",864530,8.54,190,0,0,0,0,0,0,2,1,0
304,뜨거운 안녕,남택수,(주)나이너스엔터테인먼트,2013-05-30,한국,47105,드라마,12세이상관람가,0,5,17,28,"5,627","37,082,000","5,627",이홍기,47105,9.52,1858,0,0,0,0,0,0,0,1,0
305,내 연애의 기억,이권,주식회사 디에스이이디,2014-08-20,한국,46775,멜로/로맨스,청소년관람불가,0,8,4,6,"1,618","11,901,000","1,618","강예원,송새벽,박그리나",72529,8.96,111,0,0,0,0,0,0,2,1,0
306,"그래, 가족",마대윤,월트디즈니컴퍼니코리아 유한책임회사,2017-02-15,한국,46623,코미디,12세이상관람가,0,2,10,11,"2,798","21,184,000","2,798","이요원,정만식,이솜,정준원",24454,9.41,348,0,0,0,0,0,1,0,3,0
307,족구왕,우문기,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2014-08-21,한국,45701,코미디,15세이상관람가,0,8,3,11,"1,544","10,948,500","1,544","안재홍,,강봉성,황승언,황미영",64,9.38,125,0,0,0,0,2,0,1,1,0
308,설계,박창진,(주)팝엔터테인먼트,2014-09-18,한국,45638,스릴러,청소년관람불가,0,9,2,6,"1,635","13,406,000","1,635","신은경,오인혜,강지섭",23004,6.52,135,0,0,0,0,0,0,0,3,0
309,성실한 나라의 앨리스,안국진,CGV아트하우스,2015-08-13,한국,43964,드라마,청소년관람불가,0,8,2,7,"1,146","8,763,000","1,146","이정현,이준혁",44074,8.83,92,0,0,0,1,0,1,0,0,0
310,범죄의 여왕,"이요섭,김태곤",(주)콘텐츠판다,2016-08-25,한국,43823,스릴러,15세이상관람가,0,8,5,16,"3,273","26,238,000","3,273","박지영,조복래,김대현,허정도",14636,9.07,73,0,0,0,0,1,1,1,1,0
311,우리별 일호와 얼룩소,장형윤,(주)인디플러그,2014-02-20,한국,43674,애니메이션,전체관람가,0,2,7,14,"3,262","24,584,000","3,262","유아인,정유미",76,7.76,224,0,0,1,1,0,0,0,0,0
312,산상수훈,유영의,이언픽쳐스,2017-12-07,한국,43608,드라마,전체관람가,0,12,3,9,"2,108","13,794,000","2,108",백서빈,45602,8.48,86,0,0,0,0,0,0,0,1,0
313,약장수,조치언,(주)대명문화공장,2015-04-23,한국,43562,드라마,15세이상관람가,0,4,6,14,"3,203","24,068,000","3,203","김인권,박철민,이주실",44216,8.26,178,0,0,1,1,0,1,0,0,0
314,레이디버그,장성,(주)삼지애니메이션,2017-02-22,한국,41041,애니메이션,전체관람가,0,2,,,,,,"여민정,남도형,홍시호",41043,9.55,140,0,0,0,0,0,0,0,3,0
